id;parent_id;name
45543;45507;Categorizing into ru-verbs and u-verbs
45559;45477;Essential grammar
45552;45509;ru-verbs
45480;45479;Declaring using だ
45544;490;from to exists (animate) produce いる
45545;490;from いる produce to exists (animate)
45553;45509;u-verb す ending
45560;45559;Polite forms
45481;45479;Negative state of being
45546;490;from to exists (inanimate) produce ある
45547;490;from ある produce to exists (inanimate)
45554;45509;u-verb く,ぐ ending
45561;45560;Verb stems
45482;45479;Past state of being
45562;490;from yes (polite) produce はい
45563;490;from はい produce yes (polite)
45548;45508;For ru-verbs
45555;45509;u-verb む,ぶ,ぬ ending
21187;293;from 岐 produce branch off
21189;293;from 峠 produce mountain pass
21191;293;from 崩 produce crumble
21193;293;from 密 produce secrecy
21195;293;from 蜜 produce honey
21197;293;from 嵐 produce storm
21199;293;from 崎 produce promontory
21201;293;from 崖 produce bluffs
21203;293;from 入 produce enter
21205;293;from 込 produce crowded
21207;293;from 分 produce part
21209;293;from 貧 produce poverty
21211;293;from 頒 produce partition
21213;293;from 公 produce public
21215;293;from 松 produce pine tree
21217;293;from 翁 produce venerable old man
21219;293;from 訟 produce sue
21221;293;from 谷 produce valley
21223;293;from 浴 produce bathe
21225;293;from 容 produce contain
21227;293;from 溶 produce melt
21229;293;from 欲 produce longing
21231;293;from 裕 produce abundant
21233;293;from 鉛 produce lead (metal)
21235;293;from 沿 produce run alongside
21237;293;from 賞 produce prize
21239;293;from 党 produce party
21241;293;from 堂 produce hall
21243;293;from 常 produce usual
21245;293;from 裳 produce skirt
21247;293;from 掌 produce manipulate
21249;293;from 皮 produce pelt
21251;293;from 波 produce waves
21253;293;from 婆 produce old woman
21255;293;from 披 produce expose
21257;293;from 破 produce rend
45483;45478;Particles
45564;490;from no (polite) produce いいえ
45565;490;from いいえ produce no (polite)
45549;45508;For u-verbs ending in う
45556;45509;u-verb る,う,つ ending
45484;45483;The は topic particle
45557;490;from Japan (country) produce 日本
45558;490;from 日本 produce Japan (country)
45567;490;from 鉄拳 produce fist
45566;490;from fist produce 鉄拳
45550;45508;For other u-verbs
45485;45483;The も inclusive particle
45551;45508;Exceptions
45568;45560;Using ます to make verbs polite
45486;45483;The が identifier particle
45569;45560;Using です
45487;45478;Adjectives
45570;45559;The question marker
45572;490;from すみません produce sorry (polite)
45571;490;from sorry (polite) produce すみません
45573;490;from this sort of produce こんな
45574;490;from こんな produce this sort of
21259;293;from 被 produce incur
21261;293;from 残 produce remainder
21263;293;from 殉 produce martyrdom
21265;293;from 殊 produce particularly
21267;293;from 殖 produce augment
21260;293;from incur produce 被
21262;293;from remainder produce 残
21264;293;from martyrdom produce 殉
21266;293;from particularly produce 殊
21268;293;from augment produce 殖
45499;490;from うん produce yes (casual)
45498;490;from yes (casual) produce うん
487;483;Little tsu
488;483;Long vowel sound
45501;490;from ううん produce no (casual)
45500;490;from no (casual) produce ううん
45502;490;from but produce でも 
45503;490;from でも  produce but
36329;490;from minute, elaborate  produce 細か
36331;490;from accumulate, get accumulated  produce 積もる
36333;490;from translation, rendering  produce 訳
36335;490;from translate  produce 訳す
36337;490;from consideration, inspection  produce 検討
36339;490;from program  produce プログラム
36341;490;from attach, set, apply  produce 付ける
36343;490;from nylon  produce ナイロン
36345;490;from here, this way  produce こちら
36347;490;from receive, accept  produce 受け付ける
36349;490;from put in order, dispose of, do away with  produce 片付ける
36351;490;from receptionist, information office  produce 受付
36353;490;from approach, get acquainted  produce 近付く
36355;490;from ribbon  produce リボン
36357;490;from be put in order, be settled  produce 片付く
36359;490;from take care of, pay attention to  produce 気を付ける
36361;490;from memorial day, anniversary  produce 記念日
36363;490;from regretful, disappointing  produce 残念
36365;490;from going  produce 行き
36367;490;from concrete, specific  produce 具体的
36369;490;from for example  produce 例えば
36371;490;from illustrative sentence, example  produce 例文
36373;490;from example, precedent  produce 例
36375;490;from remain over, be in excess  produce 余る
36377;490;from rid of, exclude  produce 除く
36379;490;from grind down, trim, scale back  produce 削る
36381;490;from as expected, also, still  produce やはり
36383;490;from tardiness, lateness  produce 遅刻
36385;490;from slack, loose  produce 緩い
36387;490;from figure, numeral  produce 数字
36389;490;from painful, difficult  produce 苦しい
45507;45478;Verbs
21269;293;from 列 produce file
21271;293;from 裂 produce split
21273;293;from 烈 produce ardent
21275;293;from 死 produce death
21277;293;from 葬 produce interment
21279;293;from 瞬 produce wink
21281;293;from 耳 produce ear
21283;293;from 取 produce take
21285;293;from 趣 produce gist
21287;293;from 最 produce utmost
21289;293;from 撮 produce snapshot
21291;293;from 恥 produce shame
21293;293;from 職 produce post
21295;293;from 聖 produce holy
21297;293;from 敢 produce daring
21299;293;from 聴 produce listen
21301;293;from 懐 produce pocket
21303;293;from 慢 produce ridicule
21305;293;from 漫 produce loose
21307;293;from 買 produce buy
21309;293;from 置 produce placement
21311;293;from 罰 produce penalty
21313;293;from 寧 produce rather
21315;293;from 濁 produce voiced
21317;293;from 環 produce ring
21319;293;from 還 produce send back
21321;293;from 夫 produce husband
21323;293;from 扶 produce aid
21325;293;from 渓 produce mountain stream
21327;293;from 規 produce standard
21329;293;from 替 produce exchange
21331;293;from 賛 produce approve
21333;293;from 潜 produce submerge
21335;293;from 失 produce lose
21337;293;from 鉄 produce iron
21339;293;from 迭 produce alternate
45508;45507;Negative verbs
45509;45507;Past tense
45510;45478;Particles used with verbs
45511;45510;The direct object を particle
45512;45510;The target に particle
45513;45510;The directional へ particle
21256;293;from expose produce 披
21258;293;from rend produce 破
21270;293;from file produce 列
21272;293;from split produce 裂
21274;293;from ardent produce 烈
21276;293;from death produce 死
21278;293;from interment produce 葬
21280;293;from wink produce 瞬
21282;293;from ear produce 耳
21284;293;from take produce 取
21286;293;from gist produce 趣
21288;293;from utmost produce 最
21290;293;from snapshot produce 撮
21292;293;from shame produce 恥
21294;293;from post produce 職
21296;293;from holy produce 聖
21298;293;from daring produce 敢
21300;293;from listen produce 聴
21302;293;from pocket produce 懐
21304;293;from ridicule produce 慢
21306;293;from loose produce 漫
21308;293;from buy produce 買
21310;293;from placement produce 置
21312;293;from penalty produce 罰
21314;293;from rather produce 寧
21316;293;from voiced produce 濁
21318;293;from ring produce 環
21320;293;from send back produce 還
21322;293;from husband produce 夫
21324;293;from aid produce 扶
21326;293;from mountain stream produce 渓
21328;293;from standard produce 規
21330;293;from exchange produce 替
21332;293;from approve produce 賛
21334;293;from submerge produce 潜
21336;293;from lose produce 失
21338;293;from iron produce 鉄
21340;293;from alternate produce 迭
21342;293;from retainer produce 臣
21344;293;from princess produce 姫
21346;293;from storehouse produce 蔵
21348;293;from entrails produce 臓
21350;293;from intelligent produce 賢
21352;293;from kidney produce 腎
21354;293;from strict produce 堅
21356;293;from look to produce 臨
21358;293;from perusal produce 覧
21360;293;from gigantic produce 巨
21362;293;from repel produce 拒
21364;293;from power produce 力
21366;293;from man produce 男
21368;293;from labor produce 労
21370;293;from recruit produce 募
21372;293;from inferiority produce 劣
21374;293;from achievement produce 功
21376;293;from persuade produce 勧
21378;293;from toil produce 努
21380;293;from uprising produce 勃
21382;293;from encourage produce 励
21384;293;from add produce 加
21386;293;from congratulations produce 賀
21388;293;from erect produce 架
21390;293;from armpit produce 脇
21392;293;from threaten produce 脅
21394;293;from co- produce 協
21396;293;from going produce 行
21398;293;from rhythm produce 律
21400;293;from restore produce 復
21402;293;from gain produce 得
21404;293;from accompany produce 従
21406;293;from junior produce 徒
21408;293;from wait produce 待
21410;293;from journey produce 往
21412;293;from subjugate produce 征
21414;293;from diameter produce 径
45514;45510;The contextual で particle
36391;490;from bitter, sour  produce 苦い
36393;490;from person that is hard to deal with, weak point  produce 苦手
36395;490;from be at a loss, in a jam, in trouble  produce 困る
36397;490;from poverty, destitution  produce 貧乏
36399;490;from juice, soft drink  produce ジュース
36401;490;from unhappiness, misfortune, bereavement  produce 不幸
36403;490;from happiness, good fortune  produce 幸せ
36405;490;from add, include  produce 加える
36392;490;from 苦い produce bitter, sour 
36394;490;from 苦手 produce person that is hard to deal with, weak point 
36396;490;from 困る produce be at a loss, in a jam, in trouble 
36398;490;from 貧乏 produce poverty, destitution 
36400;490;from ジュース produce juice, soft drink 
36402;490;from 不幸 produce unhappiness, misfortune, bereavement 
36404;490;from 幸せ produce happiness, good fortune 
36406;490;from 加える produce add, include 
33481;490;from one (thing)  produce 一つ
33483;490;from two (things)  produce 二つ
33485;490;from yen  produce 円
45516;45510;When the location is the topic
33487;490;from money  produce 金
33489;490;from this, this one  produce これ
33491;490;from Wednesday  produce 水曜日
33493;490;from that over there  produce あれ
33495;490;from ahead, first  produce 先
33497;490;from eight days, 8th of the month  produce 八日
33499;490;from side, vicinity  produce そば
33501;490;from here  produce こっち
33503;490;from right  produce 右
33505;490;from give  produce あげる
33507;490;from here  produce ここ
33509;490;from very  produce とても
33511;490;from seven  produce 七
33513;490;from hand  produce 手
33515;490;from stomach  produce おなか
33517;490;from be empty  produce 空く
33519;490;from 1st of the month  produce 一日
33521;490;from Sunday  produce 日曜日
33523;490;from seven (things)  produce 七つ
33525;490;from what, which  produce どれ
33527;490;from I  produce 私
33529;490;from favorite, liked  produce 好き
33531;490;from game  produce ゲーム
33533;490;from one, one person  produce 一人
33535;490;from friend, companion  produce 友達
33537;490;from return, go back  produce 帰る
33539;490;from healthy, energetic  produce 元気
33541;490;from weather  produce 天気
33543;490;from few, little  produce 少ない
33545;490;from be sunny, clear up  produce 晴れる
33547;490;from up, above  produce 上
33549;490;from door  produce ドア
