48309;47865 47864 47901 54546
48310;47903 484 47870 47894
48311;54771 47881 47892
48312;47901 484 47872 47884
48313;54284 47901 47869
48314;47883 47888 47885 54274
48315;47865 54537 47882 47885
48316;54640 47876 47884
48317;47888 47872 55172 47904
48318;54262 47872 47874
48319;47875 54603 47908
48320;47873 47878 54338 54289
48321;47869 47885 54888
48322;55446 47901 47885 47864
48323;47864 47901 47885 54720
48324;47890 55056 47886
48325;47888 47868 47901 54273
48326;47889 47901 54931 47867
48327;47888 47868 54612
48328;47901 47866 47865 47864 55540
48329;54232 47908 47885 47888 47876
48330;47932 484 47923 488 47934
48331;47888 47901 54443 47886
48332;47888 47901 47871 54419
48333;47882 54238 47891 47899
48334;47882 47893
48335;484 47882 47894
48336;54324 47888 484 47865 47909 47874
48337;47888 47902 47881 54491
48338;47865 47901 54362 47866
48339;54349 47901 47891
48340;484 54991 54280 47892
48341;47901 47891 47899 54421
48342;47892 54234 54458 47896 47865
48343;54489 47872 47885
48344;54247 47885 47886 54234 47865
48345;54282 47885 47899
48346;47864 54448 47867
48347;47909 47875 47901 54297 54251
48348;47877 486 54429 484 47904 47909 54608
48349;47909 47900 54312
48350;54492 47901 47894 47891
48351;54316 47869 54262 47872 47874
48352;54236 47901 47883 484 54277 47866 47865
48353;54486 47902 486 484 47909 47878 47882 55462
48354;54486 47901 47885 47900
48355;54883 47901 47900 47871
48356;47883 54379 47905
48357;54576 47885 54402 47899 47904 47909
48358;47889 47884 47901 484 54594 47904 47865
48359;47888 54333 47894
48360;47865 484 54451 47884
48361;47906 54247
48363;47903 47868 54366
48364;47865 47885 54644
48365;54834 47888 47872 47876
48366;47894 47906 54256 47895 47909 47882 54328
48367;54435 47866
48368;47894 54240 47901 54663 47876
48369;487 47885 54366 47873
48370;47868 47882 47870 55015
48371;54517 47909 47875
48372;54312 54234 47865 487 47900
48373;54714 47865 47882
48374;486 484 54261 47904 47882
48375;47888 54465 47901
48376;47884 47880 47871 47888 54684
48377;54598 47888 47896
48378;47888 47902 54412
48379;47893 47892
48380;484 47902 47885 54369
48381;486 47882 55497 47904
48382;54337 47892 47883 484 47882
48383;484 47888 47877 54233
48384;47868 47901 47873 54454
48385;54240 47902 47894
48386;55383 47901 47893 47891
48387;47881 47888 484 47868 47904 54518
48388;54437 47892 484 54277 47865 487 47882
48389;47903 47901 54231
48390;54258 47894 47904
48391;47888 484 47868 47904 47872 54518
48392;47929 47954 484 47923 488 47955
48393;54604 47891 47907 47871
48394;54597 47902 486 47909 54258 47879
48395;47888 47902 54356
48396;47908 54259 54234 47865 487
48397;47888 47908 54232
48398;47889 54494 47904 47896 47866
48399;54793 54268 47908 47899 47896
48400;47903 54280 47896
48401;47888 47875 54232 47908
48402;54359 47901 47897
48403;47883 484 54404 47884
48404;47902 47884 47869 54276 47865 47891 54404
48405;47888 47891 47869 54404
48406;47903 54325 47908
48407;47909 54679 47875
48408;54762 47888 484 47865 47872
48409;54525 47907 47905 484 47866
48410;47882 47905 484 54234 47900 55258
48411;47894 47892 47904 54265 54258
48412;54299 484 47892
48413;47883 47901 54239
48414;47894 54276 54653 486 54540 47904 47865 47909
48415;54818 484 47872 47866
48416;47897 47894 47892
48417;47888 47872 47894 55207
48418;47901 54263 47874
48419;47873 47901 54470 47884
48420;47883 54721 47886
48421;54484 47905 47888 47870 47876
48422;47894 47867 47909 47891 47882 54373
48423;47903 54373
48424;47868 54294 47869 47884
48425;54361 47868
48426;54672 47883 47868 47870 47866
48427;54927 47864 47879
48428;54236 47875 47901 47883 484 54277 47866 47865 54251
48429;54927 47874 47867 47909 47891 47879
48430;47884 54241 486 54253 484 47904 47882
48431;47894 47901 47899 47882 55059
48432;47906 47901 47867 47909 47891 54621
48433;47883 47888 54429 47872
48434;54437 47892 47875 47901 54362 47882 54251
48435;54556 47889 47881 47884
48436;54458 47885 47892 47896
48437;47889 54605 47892 54237 47884
48438;54378 47889 47885 487
48439;47909 54255 47869 47891
48440;54334 47901 47866 47870 47904 47864
48441;47901 54265 47872
48442;47882 47899
48443;47875 47901 47883 484 54277 47865 54251
48444;47883 47900
