floor, ceiling;一
column, going, line;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/going.png}}
boulevard;行
wheat;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/wheat.png}}
rice, United States;米
grains of rice;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/grains%20of%20rice.png}}
bamboo;竹
person;person, Mr. T, {{img:https://storage.googleapis.com/annielearn-60998.appspot.com/person.png}}
assembly line;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/assembly%20line.png}}
plow;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/plow.png}}
puzzle;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/puzzle.png}}
shredder;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/shredder.png}}
banner;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/banner.png}}
flag;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/flag.png}}
shakuhachi;尺
altar;示, {{img:https://storage.googleapis.com/annielearn-60998.appspot.com/altar.png}}
shoot, sprout;由
roots;甲
monkey;申
saw;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/saw.png}}
broom;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/broom.png}}
rake;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/rake.png}}
sieve;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/sieve.png}}
mop;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/mop.png}}
comb;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/comb.png}}
shovel;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/shovel.png}}
measuring cup;斗
screwdriver;用
salad;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/salad.png}}
caverns;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/caverns.png}}
haystack;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/haystack.png}}
straw man;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/strawman.png}}
quarter;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/quarter.png}}
building blocks;之
spear;{{img:https://storage.googleapis.com/annielearn-60998.appspot.com/spear.png}}
